the godfather 1972,francis ford coppola,"drama, thriller, crime"
citizen kane 1941,orson welles,"drama, mystery"
rear window 1954,alfred hitchcock,"mystery, thriller"
casablanca 1943,michael curtiz,"drama, romance, war"
boyhood 2014,richard linklater,drama
three colors: red 1994,krzysztof kieslowski,"drama, mystery, romance"
vertigo 1958,alfred hitchcock,"mystery, thriller, romance"
notorious 1946,alfred hitchcock,"drama, thriller, romance, film-noir"
singin' in the rain 1952,"gene kelly, stanley donen","comedy, romance, musical"
city lights 1931,charles chaplin,"drama, comedy, romance"
moonlight 2016,barry jenkins,drama
intolerance 1916,d.w. griffith,"drama, history"
pinocchio 1940,"ben sharpsteen, bill roberts, hamilton luske, jack kinney, norman ferguson, t. hee, wilfred jackson","fantasy, comedy, animation, family, musical"
touch of evil 1958,orson welles,"drama, thriller, crime, film-noir"
au hasard balthazar 1966,robert bresson,"drama, crime"
the lady vanishes 1938,alfred hitchcock,"mystery, thriller"
the treasure of the sierra madre 1948,john huston,"adventure, drama, western"
pan's labyrinth 2006,guillermo del toro,"drama, mystery, thriller, fantasy, war"
some like it hot 1959,billy wilder,"comedy, romance"
north by northwest 1959,alfred hitchcock,"action, adventure, mystery, thriller"
hoop dreams 1994,steve james,"drama, sport, documentary"
rashomon 1951,akira kurosawa,"drama, mystery, crime"
all about eve 1950,joseph l. mankiewicz,drama
jules and jim 1962,françois truffaut,"drama, romance"
the wild bunch 1969,sam peckinpah,"action, adventure, western"
my left foot 1989,jim sheridan,"biography, drama"
the third man 1949,carol reed,"mystery, thriller, film-noir"
dr. strangelove or: how i learned to stop worrying and love the bomb 1964,stanley kubrick,"thriller, comedy"
"quo vadis, aida? 2021",jasmila zbanic,"drama, history, war"
psycho 1960,alfred hitchcock,"mystery, thriller, horror"
gone with the wind 1940,"george cukor, sam wood, victor fleming","drama, history, romance, war"
"4 months, 3 weeks and 2 days 2008",cristian mungiu,drama
battleship potemkin 1926,sergei m. eisenstein,"drama, history, thriller, war"
a streetcar named desire 1951,elia kazan,drama
the maltese falcon 1941,john huston,"mystery, film-noir"
american graffiti 1973,george lucas,"drama, comedy"
dumbo 1941,"ben sharpsteen, bill roberts, jack kinney, john elliotte, norman ferguson, samuel armstrong, wilfred jackson","drama, animation, family, musical"
roma 2018,alfonso cuarón,drama
parasite 2019,joon-ho bong,"drama, thriller, comedy"
ran 1985,akira kurosawa,"action, drama, war"
"summer of soul (...or, when the revolution could not be televised) 2021",ahmir-khalib thompson,documentary
the shop around the corner 1940,ernst lubitsch,"drama, comedy, romance"
12 angry men 1957,sidney lumet,"drama, crime"
rosemary's baby 1968,roman polanski,"drama, horror"
12 years a slave 2013,steve mcqueen,"biography, drama, history"
manchester by the sea 2016,kenneth lonergan,drama
killer of sheep 2007,charles burnett,drama
nashville 1975,robert altman,"drama, comedy, music"
ratatouille 2007,brad bird,"fantasy, comedy, animation, family"
the grapes of wrath 1940,john ford,"drama, history"
children of paradise (1945) 2012,marcel carné,"drama, romance"
mean streets 1973,martin scorsese,"drama, thriller, crime"
sansho the bailiff 1955,kenji mizoguchi,drama
the lady eve 1941,preston sturges,"comedy, romance"
